0.4338 	WARNING 	Movie2 stim could not be imported and won't be available
372.5857 	DATA 	Keypress: t
374.8852 	DATA 	Keypress: t
377.1349 	DATA 	Keypress: t
379.4348 	DATA 	Keypress: t
381.6846 	DATA 	Keypress: t
383.9452 	DATA 	Keypress: t
386.2346 	DATA 	Keypress: t
388.4890 	DATA 	Keypress: t
390.7844 	DATA 	Keypress: t
393.0343 	DATA 	Keypress: t
395.3343 	DATA 	Keypress: t
397.5841 	DATA 	Keypress: t
399.8486 	DATA 	Keypress: t
402.1339 	DATA 	Keypress: t
404.3924 	DATA 	Keypress: t
406.6838 	DATA 	Keypress: t
408.9362 	DATA 	Keypress: t
411.2337 	DATA 	Keypress: t
413.4835 	DATA 	Keypress: t
415.7835 	DATA 	Keypress: t
418.0333 	DATA 	Keypress: t
420.2956 	DATA 	Keypress: t
422.5831 	DATA 	Keypress: t
424.8395 	DATA 	Keypress: t
427.1329 	DATA 	Keypress: t
429.3844 	DATA 	Keypress: t
431.6828 	DATA 	Keypress: t
433.9326 	DATA 	Keypress: t
436.2329 	DATA 	Keypress: t
438.4825 	DATA 	Keypress: t
440.7440 	DATA 	Keypress: t
443.0323 	DATA 	Keypress: t
445.2878 	DATA 	Keypress: t
447.5820 	DATA 	Keypress: t
449.8320 	DATA 	Keypress: t
452.1320 	DATA 	Keypress: t
454.3819 	DATA 	Keypress: t
456.6474 	DATA 	Keypress: t
458.9317 	DATA 	Keypress: t
461.1910 	DATA 	Keypress: t
463.4815 	DATA 	Keypress: t
465.7350 	DATA 	Keypress: t
468.0315 	DATA 	Keypress: t
470.2812 	DATA 	Keypress: t
472.5814 	DATA 	Keypress: t
474.8312 	DATA 	Keypress: t
477.0945 	DATA 	Keypress: t
479.3809 	DATA 	Keypress: t
481.6384 	DATA 	Keypress: t
483.9309 	DATA 	Keypress: t
486.1821 	DATA 	Keypress: t
488.4807 	DATA 	Keypress: t
490.7304 	DATA 	Keypress: t
493.0305 	DATA 	Keypress: t
495.2802 	DATA 	Keypress: t
497.5417 	DATA 	Keypress: t
499.8301 	DATA 	Keypress: t
502.0856 	DATA 	Keypress: t
504.3801 	DATA 	Keypress: t
506.6303 	DATA 	Keypress: t
508.9297 	DATA 	Keypress: t
511.1796 	DATA 	Keypress: t
513.4797 	DATA 	Keypress: t
515.7295 	DATA 	Keypress: t
517.9898 	DATA 	Keypress: t
520.2793 	DATA 	Keypress: t
522.5337 	DATA 	Keypress: t
524.8292 	DATA 	Keypress: t
527.0789 	DATA 	Keypress: t
529.3790 	DATA 	Keypress: t
531.6288 	DATA 	Keypress: t
533.8934 	DATA 	Keypress: t
536.1786 	DATA 	Keypress: t
538.4371 	DATA 	Keypress: t
540.7285 	DATA 	Keypress: t
542.9809 	DATA 	Keypress: t
545.2784 	DATA 	Keypress: t
547.5282 	DATA 	Keypress: t
549.8282 	DATA 	Keypress: t
552.0779 	DATA 	Keypress: t
554.3404 	DATA 	Keypress: t
556.6278 	DATA 	Keypress: t
558.8843 	DATA 	Keypress: t
561.1777 	DATA 	Keypress: t
563.4280 	DATA 	Keypress: t
565.7275 	DATA 	Keypress: t
567.9776 	DATA 	Keypress: t
570.2773 	DATA 	Keypress: t
572.5271 	DATA 	Keypress: t
574.7877 	DATA 	Keypress: t
577.0770 	DATA 	Keypress: t
579.3326 	DATA 	Keypress: t
581.6269 	DATA 	Keypress: t
583.8767 	DATA 	Keypress: t
586.1768 	DATA 	Keypress: t
588.4265 	DATA 	Keypress: t
590.6922 	DATA 	Keypress: t
592.9764 	DATA 	Keypress: t
595.2359 	DATA 	Keypress: t
597.5263 	DATA 	Keypress: t
599.7796 	DATA 	Keypress: t
602.0762 	DATA 	Keypress: t
604.3259 	DATA 	Keypress: t
606.6262 	DATA 	Keypress: t
608.8758 	DATA 	Keypress: t
611.1391 	DATA 	Keypress: t
613.4256 	DATA 	Keypress: t
615.6829 	DATA 	Keypress: t
617.9756 	DATA 	Keypress: t
620.2268 	DATA 	Keypress: t
622.5252 	DATA 	Keypress: t
624.7752 	DATA 	Keypress: t
627.0751 	DATA 	Keypress: t
629.3250 	DATA 	Keypress: t
631.5864 	DATA 	Keypress: t
633.8751 	DATA 	Keypress: t
636.1302 	DATA 	Keypress: t
638.4246 	DATA 	Keypress: t
640.6745 	DATA 	Keypress: t
642.9746 	DATA 	Keypress: t
645.2243 	DATA 	Keypress: t
647.4898 	DATA 	Keypress: t
649.7741 	DATA 	Keypress: t
652.0336 	DATA 	Keypress: t
654.3239 	DATA 	Keypress: t
656.5783 	DATA 	Keypress: t
658.8738 	DATA 	Keypress: t
661.1236 	DATA 	Keypress: t
663.4237 	DATA 	Keypress: t
665.6734 	DATA 	Keypress: t
667.9379 	DATA 	Keypress: t
670.2232 	DATA 	Keypress: t
672.4820 	DATA 	Keypress: t
674.7734 	DATA 	Keypress: t
677.0256 	DATA 	Keypress: t
679.3230 	DATA 	Keypress: t
681.5728 	DATA 	Keypress: t
683.8728 	DATA 	Keypress: t
686.1226 	DATA 	Keypress: t
688.3851 	DATA 	Keypress: t
690.6724 	DATA 	Keypress: t
692.9289 	DATA 	Keypress: t
695.2223 	DATA 	Keypress: t
697.4728 	DATA 	Keypress: t
699.7725 	DATA 	Keypress: t
702.0220 	DATA 	Keypress: t
704.3220 	DATA 	Keypress: t
706.5718 	DATA 	Keypress: t
708.8323 	DATA 	Keypress: t
711.1217 	DATA 	Keypress: t
713.3761 	DATA 	Keypress: t
715.6716 	DATA 	Keypress: t
717.9214 	DATA 	Keypress: t
720.2215 	DATA 	Keypress: t
722.4712 	DATA 	Keypress: t
724.7358 	DATA 	Keypress: t
727.0210 	DATA 	Keypress: t
729.2805 	DATA 	Keypress: t
731.5709 	DATA 	Keypress: t
733.8243 	DATA 	Keypress: t
736.1208 	DATA 	Keypress: t
738.3706 	DATA 	Keypress: t
740.6705 	DATA 	Keypress: t
742.9205 	DATA 	Keypress: t
745.1839 	DATA 	Keypress: t
747.4703 	DATA 	Keypress: t
749.7277 	DATA 	Keypress: t
752.0201 	DATA 	Keypress: t
754.2716 	DATA 	Keypress: t
756.5699 	DATA 	Keypress: t
758.8198 	DATA 	Keypress: t
761.1198 	DATA 	Keypress: t
763.3696 	DATA 	Keypress: t
765.6311 	DATA 	Keypress: t
767.9194 	DATA 	Keypress: t
770.1749 	DATA 	Keypress: t
772.4693 	DATA 	Keypress: t
774.7191 	DATA 	Keypress: t
