0.3463 	WARNING 	Movie2 stim could not be imported and won't be available
372.6030 	DATA 	Keypress: t
374.8748 	DATA 	Keypress: t
377.1468 	DATA 	Keypress: t
379.4188 	DATA 	Keypress: t
381.6907 	DATA 	Keypress: t
383.9626 	DATA 	Keypress: t
386.2346 	DATA 	Keypress: t
388.5066 	DATA 	Keypress: t
390.7784 	DATA 	Keypress: t
393.0503 	DATA 	Keypress: t
395.3223 	DATA 	Keypress: t
397.5943 	DATA 	Keypress: t
399.8672 	DATA 	Keypress: t
402.1391 	DATA 	Keypress: t
404.4111 	DATA 	Keypress: t
406.6830 	DATA 	Keypress: t
408.9550 	DATA 	Keypress: t
411.2269 	DATA 	Keypress: t
413.4988 	DATA 	Keypress: t
415.7709 	DATA 	Keypress: t
418.0427 	DATA 	Keypress: t
420.3147 	DATA 	Keypress: t
422.5866 	DATA 	Keypress: t
424.8585 	DATA 	Keypress: t
427.1305 	DATA 	Keypress: t
429.4024 	DATA 	Keypress: t
431.6744 	DATA 	Keypress: t
433.9463 	DATA 	Keypress: t
436.2182 	DATA 	Keypress: t
438.4902 	DATA 	Keypress: t
440.7621 	DATA 	Keypress: t
443.0341 	DATA 	Keypress: t
445.3060 	DATA 	Keypress: t
447.5779 	DATA 	Keypress: t
449.8498 	DATA 	Keypress: t
452.1218 	DATA 	Keypress: t
454.3938 	DATA 	Keypress: t
456.6657 	DATA 	Keypress: t
458.9376 	DATA 	Keypress: t
461.2095 	DATA 	Keypress: t
463.4814 	DATA 	Keypress: t
465.7535 	DATA 	Keypress: t
468.0255 	DATA 	Keypress: t
470.2973 	DATA 	Keypress: t
472.5694 	DATA 	Keypress: t
474.8412 	DATA 	Keypress: t
477.1142 	DATA 	Keypress: t
479.3861 	DATA 	Keypress: t
481.6581 	DATA 	Keypress: t
483.9300 	DATA 	Keypress: t
486.2019 	DATA 	Keypress: t
488.4739 	DATA 	Keypress: t
490.7457 	DATA 	Keypress: t
493.0177 	DATA 	Keypress: t
495.2897 	DATA 	Keypress: t
497.5617 	DATA 	Keypress: t
499.8336 	DATA 	Keypress: t
