0.3020 	WARNING 	Movie2 stim could not be imported and won't be available
370.1398 	DATA 	Keypress: t
372.3897 	DATA 	Keypress: t
374.6510 	DATA 	Keypress: t
376.9396 	DATA 	Keypress: t
379.1929 	DATA 	Keypress: t
381.4896 	DATA 	Keypress: t
383.7394 	DATA 	Keypress: t
386.0046 	DATA 	Keypress: t
388.2892 	DATA 	Keypress: t
390.5468 	DATA 	Keypress: t
392.8394 	DATA 	Keypress: t
395.0891 	DATA 	Keypress: t
397.3891 	DATA 	Keypress: t
399.6389 	DATA 	Keypress: t
401.9002 	DATA 	Keypress: t
404.1890 	DATA 	Keypress: t
406.4422 	DATA 	Keypress: t
408.7388 	DATA 	Keypress: t
410.9887 	DATA 	Keypress: t
413.2539 	DATA 	Keypress: t
415.5387 	DATA 	Keypress: t
417.7958 	DATA 	Keypress: t
420.0884 	DATA 	Keypress: t
422.3383 	DATA 	Keypress: t
424.6384 	DATA 	Keypress: t
426.8882 	DATA 	Keypress: t
429.1496 	DATA 	Keypress: t
431.4382 	DATA 	Keypress: t
433.6914 	DATA 	Keypress: t
435.9880 	DATA 	Keypress: t
438.2380 	DATA 	Keypress: t
440.5031 	DATA 	Keypress: t
442.7878 	DATA 	Keypress: t
445.0451 	DATA 	Keypress: t
447.3377 	DATA 	Keypress: t
449.5876 	DATA 	Keypress: t
451.8876 	DATA 	Keypress: t
454.1375 	DATA 	Keypress: t
456.3988 	DATA 	Keypress: t
458.6874 	DATA 	Keypress: t
460.9407 	DATA 	Keypress: t
463.2373 	DATA 	Keypress: t
465.4872 	DATA 	Keypress: t
467.7525 	DATA 	Keypress: t
470.0372 	DATA 	Keypress: t
472.2944 	DATA 	Keypress: t
474.5870 	DATA 	Keypress: t
476.8370 	DATA 	Keypress: t
479.1369 	DATA 	Keypress: t
481.3867 	DATA 	Keypress: t
483.6480 	DATA 	Keypress: t
485.9366 	DATA 	Keypress: t
488.1899 	DATA 	Keypress: t
490.4866 	DATA 	Keypress: t
492.7365 	DATA 	Keypress: t
495.0018 	DATA 	Keypress: t
497.2864 	DATA 	Keypress: t
499.5436 	DATA 	Keypress: t
501.8362 	DATA 	Keypress: t
504.0863 	DATA 	Keypress: t
506.3862 	DATA 	Keypress: t
508.6361 	DATA 	Keypress: t
510.8974 	DATA 	Keypress: t
513.1859 	DATA 	Keypress: t
515.4392 	DATA 	Keypress: t
517.7358 	DATA 	Keypress: t
519.9857 	DATA 	Keypress: t
522.2509 	DATA 	Keypress: t
524.5356 	DATA 	Keypress: t
526.7927 	DATA 	Keypress: t
529.0857 	DATA 	Keypress: t
531.3355 	DATA 	Keypress: t
